Country;League;Season;Date;Time;Home;Away;HG;AG;Res;PH;PD;PA;MaxH;MaxD;MaxA;AvgH;AvgD;AvgA
Brazil;Serie A;2012;19/05/2012;22:30:00;Palmeiras;Portuguesa;1;1;2;175;386;525;176;387;531;169;35;49
Brazil;Serie A;2012;19/05/2012;22:30:00;Sport Recife;Flamengo RJ;1;1;2;283;339;268;283;342;27;259;323;258
Brazil;Serie A;2012;20/05/2012;01:00:00;Figueirense;Nautico;2;1;0;16;404;672;167;405;722;159;367;564
Brazil;Serie A;2012;20/05/2012;20:00:00;Botafogo RJ;Sao Paulo;4;2;0;249;335;315;249;339;315;235;326;284
Brazil;Serie A;2012;20/05/2012;20:00:00;Corinthians;Fluminense;0;1;1;196;353;441;196;353;441;189;333;389
Brazil;Serie A;2012;20/05/2012;20:00:00;Internacional;Coritiba;2;0;0;176;363;566;177;39;6;166;355;51
Brazil;Serie A;2012;20/05/2012;20:00:00;Ponte Preta;Atletico-MG;0;1;1;312;345;244;312;345;262;274;323;245
Brazil;Serie A;2012;20/05/2012;22:30:00;Bahia;Santos;0;0;2;233;344;332;245;352;332;23;322;297
Brazil;Serie A;2012;20/05/2012;22:30:00;Cruzeiro;Atletico GO;0;0;2;183;374;482;185;379;482;178;347;43
Brazil;Serie A;2012;20/05/2012;22:30:00;Vasco;Gremio;2;1;0;225;34;353;225;346;364;208;325;341
Brazil;Serie A;2012;26/05/2012;22:30:00;Atletico GO;Ponte Preta;1;1;2;166;409;579;17;409;579;166;359;504
Brazil;Serie A;2012;26/05/2012;22:30:00;Flamengo RJ;Internacional;3;3;2;213;335;395;215;36;42;199;323;374
Brazil;Serie A;2012;26/05/2012;22:30:00;Portuguesa;Vasco;0;1;1;25;35;267;28;354;27;262;322;254
Brazil;Serie A;2012;27/05/2012;01:00:00;Nautico;Cruzeiro;0;0;2;315;331;249;315;331;28;267;318;255
Brazil;Serie A;2012;27/05/2012;20:00:00;Atletico-MG;Corinthians;1;0;0;204;343;409;225;37;409;208;328;343
Brazil;Serie A;2012;27/05/2012;20:00:00;Coritiba;Botafogo RJ;2;3;1;179;388;484;196;42;484;177;36;415
Brazil;Serie A;2012;27/05/2012;20:00:00;Santos;Sport Recife;0;0;2;142;476;952;15;488;952;141;417;746
Brazil;Serie A;2012;27/05/2012;20:00:00;Sao Paulo;Bahia;1;0;0;147;474;768;147;474;791;144;412;693
